"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","26","0","0"
"","Управление проектами","Удаление проекта UI","0","0","3","0","0"
"","Управление билдами","Удаление билда UI","0","0","3","0","0"
"","Управление билдами","Создание билда UI","0","0","3","0","0"
"","","Создание билда","0","0","3","0","0"
"","Управление проектами","Создание проекта UI","0","0","3","0","0"
"","Управление проектами","Создание проекта","0","0","3","0","0"
"","Элементы страницы","Создание проекта UI","0","0","3","0","0"
