"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 17:19:50 GMT 2024","Fri Apr 05 17:19:50 GMT 2024","21","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Fri Apr 05 17:20:00 GMT 2024","Fri Apr 05 17:20:00 GMT 2024","22","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Fri Apr 05 17:19:39 GMT 2024","Fri Apr 05 17:19:40 GMT 2024","44","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Fri Apr 05 17:19:04 GMT 2024","Fri Apr 05 17:19:04 GMT 2024","41","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Fri Apr 05 17:19:19 GMT 2024","Fri Apr 05 17:19:19 GMT 2024","53","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Fri Apr 05 17:20:05 GMT 2024","Fri Apr 05 17:20:05 GMT 2024","7","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
"passed","Fri Apr 05 17:19:45 GMT 2024","Fri Apr 05 17:19:45 GMT 2024","38","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Fri Apr 05 17:20:20 GMT 2024","Fri Apr 05 17:20:20 GMT 2024","27","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Fri Apr 05 17:19:55 GMT 2024","Fri Apr 05 17:19:55 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Fri Apr 05 17:20:10 GMT 2024","Fri Apr 05 17:20:10 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Fri Apr 05 17:18:58 GMT 2024","Fri Apr 05 17:18:59 GMT 2024","443","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Fri Apr 05 17:19:14 GMT 2024","Fri Apr 05 17:19:14 GMT 2024","17","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Fri Apr 05 17:19:09 GMT 2024","Fri Apr 05 17:19:09 GMT 2024","26","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Fri Apr 05 17:19:24 GMT 2024","Fri Apr 05 17:19:24 GMT 2024","34","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Fri Apr 05 17:19:34 GMT 2024","Fri Apr 05 17:19:34 GMT 2024","86","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Fri Apr 05 17:19:29 GMT 2024","Fri Apr 05 17:19:29 GMT 2024","31","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Fri Apr 05 17:20:15 GMT 2024","Fri Apr 05 17:20:15 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
