"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 17:03:21 GMT 2024","Fri Apr 05 17:03:21 GMT 2024","14","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Fri Apr 05 17:04:23 GMT 2024","Fri Apr 05 17:04:23 GMT 2024","29","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Fri Apr 05 17:03:32 GMT 2024","Fri Apr 05 17:03:32 GMT 2024","28","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Fri Apr 05 17:03:42 GMT 2024","Fri Apr 05 17:03:42 GMT 2024","96","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Fri Apr 05 17:03:47 GMT 2024","Fri Apr 05 17:03:47 GMT 2024","51","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Fri Apr 05 17:04:02 GMT 2024","Fri Apr 05 17:04:02 GMT 2024","23","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Fri Apr 05 17:03:06 GMT 2024","Fri Apr 05 17:03:06 GMT 2024","462","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Fri Apr 05 17:04:12 GMT 2024","Fri Apr 05 17:04:12 GMT 2024","6","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
"passed","Fri Apr 05 17:04:28 GMT 2024","Fri Apr 05 17:04:28 GMT 2024","27","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Fri Apr 05 17:03:11 GMT 2024","Fri Apr 05 17:03:11 GMT 2024","34","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Fri Apr 05 17:03:37 GMT 2024","Fri Apr 05 17:03:37 GMT 2024","26","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Fri Apr 05 17:03:16 GMT 2024","Fri Apr 05 17:03:16 GMT 2024","27","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Fri Apr 05 17:04:07 GMT 2024","Fri Apr 05 17:04:07 GMT 2024","21","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Fri Apr 05 17:03:27 GMT 2024","Fri Apr 05 17:03:27 GMT 2024","51","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Fri Apr 05 17:04:17 GMT 2024","Fri Apr 05 17:04:18 GMT 2024","23","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Fri Apr 05 17:03:52 GMT 2024","Fri Apr 05 17:03:52 GMT 2024","46","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Fri Apr 05 17:03:57 GMT 2024","Fri Apr 05 17:03:57 GMT 2024","22","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
