"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 09:24:54 GMT 2024","Sun Apr 07 09:24:54 GMT 2024","43","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 09:24:49 GMT 2024","Sun Apr 07 09:24:49 GMT 2024","14","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Sun Apr 07 09:25:45 GMT 2024","Sun Apr 07 09:25:45 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 09:25:50 GMT 2024","Sun Apr 07 09:25:50 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 09:24:44 GMT 2024","Sun Apr 07 09:24:44 GMT 2024","33","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 09:25:55 GMT 2024","Sun Apr 07 09:25:55 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 09:25:35 GMT 2024","Sun Apr 07 09:25:35 GMT 2024","22","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 09:25:15 GMT 2024","Sun Apr 07 09:25:15 GMT 2024","48","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 09:24:39 GMT 2024","Sun Apr 07 09:24:39 GMT 2024","39","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 09:25:10 GMT 2024","Sun Apr 07 09:25:10 GMT 2024","81","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 09:24:33 GMT 2024","Sun Apr 07 09:24:34 GMT 2024","590","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 09:24:59 GMT 2024","Sun Apr 07 09:24:59 GMT 2024","28","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 09:25:30 GMT 2024","Sun Apr 07 09:25:30 GMT 2024","23","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 09:25:04 GMT 2024","Sun Apr 07 09:25:04 GMT 2024","27","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 09:25:20 GMT 2024","Sun Apr 07 09:25:20 GMT 2024","40","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 09:25:25 GMT 2024","Sun Apr 07 09:25:25 GMT 2024","21","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 09:25:40 GMT 2024","Sun Apr 07 09:25:40 GMT 2024","7","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
