"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 09:32:19 GMT 2024","Sun Apr 07 09:32:19 GMT 2024","41","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 09:32:14 GMT 2024","Sun Apr 07 09:32:14 GMT 2024","14","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Sun Apr 07 09:33:00 GMT 2024","Sun Apr 07 09:33:00 GMT 2024","19","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 09:32:25 GMT 2024","Sun Apr 07 09:32:25 GMT 2024","35","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 09:33:10 GMT 2024","Sun Apr 07 09:33:10 GMT 2024","27","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 09:32:45 GMT 2024","Sun Apr 07 09:32:45 GMT 2024","59","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 09:32:04 GMT 2024","Sun Apr 07 09:32:04 GMT 2024","39","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 09:32:55 GMT 2024","Sun Apr 07 09:32:55 GMT 2024","26","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 09:33:21 GMT 2024","Sun Apr 07 09:33:21 GMT 2024","31","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 09:31:58 GMT 2024","Sun Apr 07 09:31:59 GMT 2024","558","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 09:32:30 GMT 2024","Sun Apr 07 09:32:30 GMT 2024","39","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 09:33:16 GMT 2024","Sun Apr 07 09:33:16 GMT 2024","23","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 09:32:50 GMT 2024","Sun Apr 07 09:32:50 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 09:33:05 GMT 2024","Sun Apr 07 09:33:05 GMT 2024","8","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
"passed","Sun Apr 07 09:32:40 GMT 2024","Sun Apr 07 09:32:40 GMT 2024","53","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 09:32:09 GMT 2024","Sun Apr 07 09:32:09 GMT 2024","50","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 09:32:35 GMT 2024","Sun Apr 07 09:32:35 GMT 2024","83","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
