"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 08:28:12 GMT 2024","Sun Apr 07 08:28:13 GMT 2024","23","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 08:27:57 GMT 2024","Sun Apr 07 08:27:57 GMT 2024","84","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 08:27:37 GMT 2024","Sun Apr 07 08:27:37 GMT 2024","19","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Sun Apr 07 08:27:21 GMT 2024","Sun Apr 07 08:27:21 GMT 2024","535","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 08:27:42 GMT 2024","Sun Apr 07 08:27:42 GMT 2024","42","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 08:28:28 GMT 2024","Sun Apr 07 08:28:28 GMT 2024","7","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
"passed","Sun Apr 07 08:28:43 GMT 2024","Sun Apr 07 08:28:43 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 08:28:23 GMT 2024","Sun Apr 07 08:28:23 GMT 2024","21","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 08:28:07 GMT 2024","Sun Apr 07 08:28:07 GMT 2024","51","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 08:27:26 GMT 2024","Sun Apr 07 08:27:26 GMT 2024","41","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 08:28:18 GMT 2024","Sun Apr 07 08:28:18 GMT 2024","23","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 08:27:32 GMT 2024","Sun Apr 07 08:27:32 GMT 2024","51","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 08:27:52 GMT 2024","Sun Apr 07 08:27:52 GMT 2024","31","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 08:28:02 GMT 2024","Sun Apr 07 08:28:02 GMT 2024","54","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 08:27:47 GMT 2024","Sun Apr 07 08:27:47 GMT 2024","32","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 08:28:38 GMT 2024","Sun Apr 07 08:28:38 GMT 2024","27","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 08:28:33 GMT 2024","Sun Apr 07 08:28:33 GMT 2024","26","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
