"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 08:21:55 GMT 2024","Sun Apr 07 08:21:56 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 08:21:40 GMT 2024","Sun Apr 07 08:21:40 GMT 2024","22","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 08:20:49 GMT 2024","Sun Apr 07 08:20:49 GMT 2024","39","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 08:21:20 GMT 2024","Sun Apr 07 08:21:20 GMT 2024","51","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 08:21:04 GMT 2024","Sun Apr 07 08:21:05 GMT 2024","28","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 08:21:35 GMT 2024","Sun Apr 07 08:21:35 GMT 2024","25","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 08:20:54 GMT 2024","Sun Apr 07 08:20:54 GMT 2024","20","tests.backend","test_build","TestBuild","","","Проверка невозможность создания билда с пустым телом","Тест проверяет невозможность создания билда c пустым телом"
"passed","Sun Apr 07 08:21:45 GMT 2024","Sun Apr 07 08:21:45 GMT 2024","6","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта с пустым телом","Тест проверяет невозможность создания проекта c пустым телом"
"passed","Sun Apr 07 08:22:01 GMT 2024","Sun Apr 07 08:22:01 GMT 2024","24","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
"passed","Sun Apr 07 08:20:38 GMT 2024","Sun Apr 07 08:20:39 GMT 2024","672","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 08:20:44 GMT 2024","Sun Apr 07 08:20:44 GMT 2024","30","tests.backend","test_build","TestBuild","","","Проверка создания билда","Тест проверяет создание нового билда"
"passed","Sun Apr 07 08:21:15 GMT 2024","Sun Apr 07 08:21:15 GMT 2024","59","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 08:21:25 GMT 2024","Sun Apr 07 08:21:25 GMT 2024","60","tests.backend","test_build","TestBuild","","","Проверка удаления билда","Тест проверяет удаление билда"
"passed","Sun Apr 07 08:20:59 GMT 2024","Sun Apr 07 08:20:59 GMT 2024","34","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 08:21:10 GMT 2024","Sun Apr 07 08:21:10 GMT 2024","39","tests.backend","test_build","TestBuild","","","Проверка невозможности создания одинаковых билдов","Тест проверяет невозможность создания одинаковых билдов"
"passed","Sun Apr 07 08:21:30 GMT 2024","Sun Apr 07 08:21:30 GMT 2024","23","tests.backend","test_project","TestProjectCreate","","","Проверка создания проекта","Тест проверяет создание нового проекта"
"passed","Sun Apr 07 08:21:50 GMT 2024","Sun Apr 07 08:21:50 GMT 2024","33","tests.backend","test_project","TestProjectCreate","","","Проверка невозможность создания проекта c занятым именем","Тест проверяет невозможность создания проекта c уже занятым именем"
